domain,category
000webhost.com,Tech Services
123rf.com,Design Tools
126.com,Social Media
163.com,Social Media
17173.com,Gaming
17app.co,Social Media
1win.com,Gaming
2fast4u.be,Forums
500px.com,Social Media
7k7k.com,Gaming
8fit.com,Health/Fitness
8tracks.com,Streaming
9lives.be,Forums
OwnedCore.com,Forums
abandonia.com,Gaming
abfrl.com,E-commerce
abusewith.us,Hacking
acne.org,Forums
activision.com,Gaming
actmobile.com,Tech Services
adapt.io,Tech Services
adecco.com,Job Search
adobe.com,Tech Services
adoptmetradingvalues.com,Gaming
adult-fanfiction.org,Forums
adultfriendfinder.com,Dating
advanceautoparts.com,E-commerce
aerserv.com,Tech Services
agusiq-torrents.pl,Torrents
ahashare.com,Torrents
aimware.net,Hacking
aipai.com,Streaming
aitype.com,Tech Services
ajarn.com,Job Search
akparti.org.tr,Government
altenens.is,Hacking
amartfurniture.com.au,E-commerce
ancestry.com,Tech Services
androidforums.com,Forums
androidlista.com,Tech Services
animaljam.com,Gaming
anime-planet.com,Social Media
animegame.me,Gaming
animeleague.net,Forums
animoto.com,Design Tools
apk.tw,Tech Services
apollo.io,Tech Services
appartoo.com,Social Media
appen.com,Tech Services
aptoide.com,Tech Services
archive.org,Other
armorgames.com,Gaming
armyforceonline.com,Gaming
artsy.net,E-commerce
artvalue.com,E-commerce
ashleymadison.com,Dating
astoriacompany.com,Tech Services
astropid.com,Forums
aternos.org,Gaming
atlasquantum.com,Finance
atmeltomo.com,Social Media
audiusa.com,E-commerce
autocentrum.pl,E-commerce
autotrader.com,E-commerce
avast.com,Tech Services
avito.ma,E-commerce
avvo.com,Tech Services
babynames.com,Social Media
badoo.com,Dating
bannerbit.com,Finance
banorte.com,Finance
battlefieldheroes.com,Gaming
battlefy.com,Gaming
beautifulpeople.com,Dating
bell.ca,Tech Services
benchmark.rs,Tech Services
bestialitysextaboo.com,Forums
bhinneka.com,E-commerce
bigbasket.com,E-commerce
bigmoneyjobs.com,Job Search
binweevils.com,Gaming
biohack.me,Forums
bitcointalk.org,Forums
bitly.com,Tech Services
bittorrent.com,Torrents
bitview.net,Streaming
blackberryfans.org,Forums
blackhatworld.com,Forums
blackspigot.com,Hacking
blankmediagames.com,Gaming
bleachanime.org,Forums
bloomstoday.com,E-commerce
bluesnap.com,Finance
boat-lifestyle.com,E-commerce
bolt.cd,Forums
bombuj.eu,Streaming
bonobos.com,E-commerce
bookchor.com,E-commerce
bookcrossing.com,Social Media
bookmate.com,E-commerce
botoflegends.com,Gaming
boulanger.com,E-commerce
bourse-des-vols.com,Travel
brandnewtube.com,Streaming
brazzers.com,Streaming
breached.vc,Hacking
breachforums.vc,Hacking
btc-alpha.com,Finance
btc-e.com,Finance
btobet.com,Gaming
budtrader.com,E-commerce
bukalapak.com,E-commerce
businessacumen.biz,Tech Services
bvdinfo.com,Tech Services
cafemom.com,Social Media
cafepress.com,E-commerce
cannabis.com,Forums
canva.com,Design Tools
capitaleconomics.com,Finance
cardmafia.cc,Hacking
cashcrate.com,Finance
catho.com.br,Job Search
cdek.ru,E-commerce
cdprojektred.com,Gaming
centraltickets.co.uk,Travel
cfire.mail.ru,Social Media
chatbooks.com,E-commerce
cheapassgamer.com,Forums
chegg.com,Education
chess.com,Gaming
chowbus.com,E-commerce
chrisleong.com,Health/Fitness
cit0day.in,Hacking
citybee.lt,Travel
cityjerks.com,Social Media
clearvoicesurveys.com,Tech Services
clickasnap.com,Social Media
clixsense.com,Finance
cloudpets.com,Tech Services
co188.com,Social Media
coachella.com,Travel
cocospy.com,Tech Services
coinmama.com,Finance
coinmarketcap.com,Finance
cointracker.io,Finance
colocrossing.com,Tech Services
colordatingapp.com,Dating
comcast.net,Tech Services
comelec.gov.ph,Government
condo.com,E-commerce
convex.ru,Tech Services
covve.com,Tech Services
cprewritten.net,Gaming
crackcommunity.com,Hacking
cracked.to,Hacking
crackingforum.com,Hacking
craftrise.com.tr,Gaming
creative.com,Tech Services
ctars.com.au,E-commerce
cutout.pro,Design Tools
cyberserve.co.il,Tech Services
d3scene.com,Forums
dafont.com,Design Tools
dailymotion.com,Streaming
dailyobjects.com,E-commerce
dailyquiz.me,Education
dangdang.com,E-commerce
daniweb.com,Forums
data4marketers.com,Tech Services
datacamp.com,Education
datanleads.com,Tech Services
datehotbrunettes.com,Dating
datpiff.com,Streaming
dave.com,Finance
dbforums.com,Forums
dchealthlink.com,Health/Fitness
ddo.com,Gaming
deezer.com,Streaming
demandscience.com,Tech Services
demonforums.net,Hacking
denniskirk.com,E-commerce
descomplica.com.br,Education
dev.dota2.com,Gaming
devil-torrents.pl,Torrents
devkitpro.org,Tech Services
diet.com,Health/Fitness
digidirect.com.au,E-commerce
digimon.co.in,Gaming
diskunion.net,E-commerce
disqus.com,Tech Services
divxsubtitles.net,Streaming
dlh.net,Gaming
dodonew.com,News/Media
dominos.co.in,E-commerce
doomworld.com,Forums
doordash.com,E-commerce
doxbin.com,Hacking
dragonnest.com,Gaming
drivesure.com,Tech Services
drizly.com,E-commerce
dropbox.com,Tech Services
dubsmash.com,Social Media
ducks.org,Other
duelingnetwork.com,Gaming
dunzo.com,E-commerce
duolingo.com,Education
duowan.com,Gaming
dvd-shop.ch,E-commerce
dymocks.com.au,E-commerce
earth2.io,Gaming
eatigo.com,E-commerce
eatstreet.com,E-commerce
ecb.co.uk,Government
eccie.net,Forums
edmodo.com,Education
elance.com,Job Search
elanic.in,E-commerce
emuparadise.me,Gaming
epal.gg,Gaming
epicbot.com,Gaming
epicgames.com,Gaming
epicnpc.com,Forums
epik.com,Tech Services
eroticy.com,Streaming
eservices.durban.gov.za,Government
eskimi.com,Social Media
estantevirtual.com.br,E-commerce
ethereum.org,Finance
europa.jobs,Job Search
evermotion.org,Design Tools
everybodyedits.com,Gaming
evite.com,Social Media
evony.com,Gaming
exactis.com,Tech Services
experian.com,Finance
exploretalent.com,Job Search
exvagos.org,Torrents
eye4fraud.com,Tech Services
eyeem.com,Social Media
f.elex.com,Gaming
facebook.com,Social Media
facepunch.com,Forums
faceup.dk,Social Media
factual.com,Tech Services
fairvote.ca,Government
famm.us,Other
fanpass.co.uk,Travel
fantasyfootballhub.co.uk,Gaming
fashionfantasygame.com,Gaming
fashionnexus.co.uk,E-commerce
ffr.fr,Gaming
ffshrine.org,Forums
fhostingesps6bly.onion,Hacking
filmai.in,Streaming
finsure.com.au,Finance
fitmart.de,E-commerce
flashback.se,Forums
flashflashrevolution.com,Gaming
flatearthdave.com,Forums
flexbooker.com,Tech Services
fling.com,Dating
flipaclip.com,Design Tools
flvs.net,Education
flytap.com,Travel
fntech.com,Tech Services
foodora.com,E-commerce
foodworkercard.wa.gov,Government
forbes.com,News/Media
forum.btcsec.com,Forums
forumcommunity.net,Forums
forums.boxee.com,Forums
fotolog.com,Social Media
foxybingo.com,Gaming
frameandoptic.com,E-commerce
free.fr,Tech Services
freshmenu.com,E-commerce
fridae.asia,Dating
funimation.com,Streaming
funny-games.biz,Gaming
furaffinity.net,Social Media
gaadi.com,E-commerce
gab.com,Social Media
game-tuts.com,Gaming
gamerzplanet.net,Forums
gamesalad.com,Gaming
gamesbox.com,Gaming
gamesprite.me,Gaming
gamevn.com,Gaming
gamigo.com,Gaming
gamingmonk.com,Gaming
gatehub.net,Finance
gawker.com,News/Media
ge.tt,Tech Services
geekedin.net,Job Search
gemini.com,Finance
gemplex.tv,Streaming
genesis.market,Hacking
geniusu.com,Education
germandonerkebab.com,E-commerce
getrevengeonyourex.com,Social Media
gfan.com,Gaming
ggcorp.me,Gaming
ggumim.co.kr,E-commerce
gianttiger.com,E-commerce
givesendgo.com,Finance
glamira.com,E-commerce
glofox.com,Health/Fitness
gogames.me,Gaming
goldsilver.com,E-commerce
goninja.de,Gaming
gonitro.com,Tech Services
gpotato.com,Gaming
gpsunderground.com,Tech Services
gravatar.com,Tech Services
gsmhosting.com,Forums
gtagaming.com,Gaming
gunauction.com,E-commerce
guns.com,E-commerce
guntrader.uk,E-commerce
habibs.com.br,E-commerce
hackforums.net,Hacking
hackingteam.com,Hacking
hakko.com,E-commerce
hathway.com,Tech Services
hautelook.com,E-commerce
havenly.com,E-commerce
hdbfs.com,Finance
healthnow.co,Health/Fitness
heatgames.me,Gaming
hemmakvall.se,E-commerce
hemmelig.com,Social Media
heritage.org,Other
heroesofgaia.com,Gaming
heroesofnewerth.com,Gaming
hiapk.com,Tech Services
hjedd.com,Forums
hltv.org,Gaming
homechef.com,E-commerce
hongfire.com,Forums
hookers.nl,Forums
horseisle.com,Gaming
hottopic.com,E-commerce
hounddawgs.org,Torrents
houzz.com,E-commerce
htcmania.com,Forums
hthstudios.com,Gaming
hub4tech.com,Tech Services
huntstand.com,Tech Services
hurb.com,Travel
husky-owners.com,Forums
i-dressup.com,Gaming
idcgames.com,Gaming
idtech.com,Education
iimjobs.com,Job Search
ilikecheats.net,Hacking
imavex.com,Tech Services
imenu360.com,Tech Services
imesh.com,Streaming
imgur.com,Social Media
ind.cl,E-commerce
indiamart.com,E-commerce
indianrails.in,Travel
indihome.co.id,Tech Services
insanelyi.com,Forums
instantcheckmate.com,Tech Services
intelimost.com,Tech Services
interpals.net,Social Media
intgovforum.org,Forums
ipmart-forum.com,Forums
ixigo.com,Travel
jamesdelivery.com.br,E-commerce
jamtangan.com,E-commerce
jd.com,E-commerce
jdgroup.co.za,E-commerce
jefit.com,Health/Fitness
jobandtalent.com,Job Search
jobstreet.com,Job Search
jobzone.co.il,Job Search
joomlart.com,Tech Services
joygames.me,Gaming
